0	391
0	1945
0	1698
11	1190
11	242
11	1717
11	118
11	1080
11	63
11	1010
11	315
11	1485
11	1099
13	851
13	271
13	1500
13	216
13	24
13	1521
13	1586
13	1893
13	1466
13	410
13	1997
14	1207
14	349
14	731
20	1898
24	1521
30	1143
33	1898
34	92
34	349
34	322
34	1705
50	1892
50	750
50	2002
63	1190
63	1010
63	1717
63	1099
63	118
70	1711
74	1898
83	1996
83	361
83	534
83	1705
95	737
95	183
95	238
95	652
95	55
95	1902
95	1143
108	176
116	1134
116	10
116	964
116	915
116	1961
116	1381
116	866
116	795
118	1190
118	1099
124	1580
124	694
148	828
149	306
157	832
165	1562
165	917
165	349
181	755
183	1143
183	55
183	33
185	1705
196	1891
196	1676
203	1705
216	1521
216	24
238	183
238	55
238	1143
264	535
271	1500
271	216
271	24
271	1521
271	1586
271	1893
271	1466
271	410
271	1997
296	983
296	1696
311	1683
315	1010
315	1190
315	63
318	95
318	737
318	183
318	238
318	652
318	55
318	1902
318	1143
322	92
322	349
325	1055
326	908
349	83
349	344
349	1243
349	92
349	794
349	1538
349	525
349	731
349	1753
361	349
374	14
374	1207
374	1060
374	731
384	1815
384	964
384	1961
384	665
384	795
386	1498
386	525
391	962
410	1500
410	216
410	24
410	1586
410	1893
410	1466
428	1252
433	1134
433	964
433	915
433	1961
433	866
433	1401
433	795
433	384
433	1815
433	10
433	1381
433	116
433	665
433	627
433	1673
433	1226
433	1855
435	1705
435	1060
458	1207
458	349
458	14
458	374
458	344
461	1800
461	435
469	97
491	1705
491	602
491	831
491	852
491	14
512	832
523	1932
525	828
534	349
535	1898
583	1562
583	165
583	917
583	349
585	1643
586	349
586	1243
602	831
602	1302
602	1705
602	349
602	1130
625	147
626	33
627	1673
627	1401
652	183
652	238
652	55
652	1143
657	1414
657	1705
665	1815
665	964
665	1961
665	795
686	534
694	1580
731	619
737	183
737	238
737	652
737	55
737	1902
737	1143
750	1892
750	2002
794	1252
794	92
794	389
794	1705
795	1673
795	1961
795	1815
795	10
795	627
795	1401
803	417
815	828
827	95
827	1898
828	1562
828	83
828	534
828	361
828	578
828	349
828	917
828	1726
828	583
828	165
828	734
828	1996
828	1705
828	686
831	1705
831	349
851	24
851	216
851	410
851	271
852	349
852	602
852	1302
852	92
852	831
852	34
852	322
852	1133
863	462
866	964
866	1961
866	795
866	384
866	1815
866	10
866	665
897	300
915	964
915	1961
915	866
915	795
915	384
915	1815
915	10
915	665
917	349
944	344
944	349
962	1711
962	70
962	1945
962	1698
962	0
964	1961
964	795
964	1815
964	10
977	1134
977	10
977	964
977	915
977	1961
977	1381
977	116
977	866
977	433
977	795
977	627
977	1673
977	1226
977	1401
977	1855
983	1696
1010	1190
1013	1705
1080	176
1080	108
1080	1190
1080	63
1080	1010
1080	1717
1080	315
1080	1099
1080	118
1133	92
1133	34
1133	349
1133	322
1133	1705
1134	964
1134	915
1134	1961
1134	866
1134	795
1134	384
1134	1815
1134	10
1134	665
1143	33
1143	552
1143	655
1143	1843
1143	626
1143	1651
1143	55
1143	20
1143	1898
1150	942
1150	1424
1190	1099
1197	1143
1197	33
1197	1898
1197	1843
1226	795
1226	627
1226	1673
1226	1401
1226	1855
1230	828
1252	1753
1279	1753
1357	797
1381	1134
1381	10
1381	964
1381	915
1381	1961
1381	866
1381	795
1382	349
1401	1673
1401	384
1401	866
1466	1521
1466	24
1466	1997
1466	851
1466	216
1472	591
1485	1080
1485	176
1485	108
1485	1010
1485	1190
1485	315
1485	63
1491	1684
1498	525
1500	1521
1500	216
1500	24
1500	1466
1500	851
1504	344
1521	851
1521	410
1532	1705
1548	294
1562	917
1562	349
1562	534
1562	83
1562	361
1562	14
1586	851
1586	1500
1586	216
1586	24
1586	1521
1586	1466
1637	828
1637	1739
1637	619
1672	535
1679	1705
1679	203
1684	534
1688	1679
1696	389
1698	1945
1705	349
1705	1638
1705	1252
1705	92
1705	1562
1705	1745
1705	852
1705	1910
1705	1741
1705	1060
1705	322
1705	14
1705	282
1705	534
1717	1190
1717	118
1717	1099
1726	349
1726	534
1800	435
1804	3
1814	337
1843	535
1855	795
1855	627
1855	1673
1855	1401
1857	1143
1857	1197
1886	779
1886	1906
1892	2002
1893	1500
1893	216
1893	24
1893	1521
1893	1586
1893	1466
1893	1997
1893	851
1898	95
1898	1959
1898	2010
1898	1275
1902	183
1902	238
1902	652
1902	55
1902	1143
1906	389
1906	1696
1906	779
1911	1705
1911	14
1923	224
1926	1500
1926	1586
1926	1466
1926	271
1926	216
1926	410
1926	1973
1926	1997
1926	851
1926	24
1926	1521
1926	13
1926	1893
1929	439
1929	828
1938	962
1938	391
1938	0
1961	1815
1961	10
1973	851
1973	410
1973	1586
1973	1893
1973	271
1973	1500
1973	216
1973	24
1973	1521
1973	13
1973	1466
1991	1143
1991	1197
1996	1562
1997	851
1997	1973
1997	410
1997	1586
1997	1500
1997	216
1997	24
1997	1521
2000	242
2000	1717
2000	1190
2000	118
2000	11
2000	1080
2000	63
2000	1099
2010	1150
