0 0
391 0
1945 0
1698 0
70 0
1711 0
962 0
1938 0
11 1
1190 1
242 1
1717 1
118 1
1080 1
63 1
1010 1
315 1
1485 1
1099 1
108 1
176 1
2000 1
13 2
851 2
271 2
1500 2
216 2
24 2
1521 2
1586 2
1893 2
1466 2
410 2
1997 2
1926 2
1973 2
20 3
1898 3
1143 3
33 3
95 3
737 3
183 3
238 3
652 3
55 3
1902 3
535 3
318 3
626 3
827 3
1843 3
1197 3
1857 3
1991 3
50 4
1892 4
750 4
2002 4
116 5
1134 5
10 5
964 5
915 5
1961 5
1381 5
866 5
795 5
384 5
1815 5
665 5
433 5
1401 5
627 5
1673 5
1226 5
1855 5
977 5
124 6
1580 6
694 6
149 7
306 7
157 8
832 8
512 8
181 9
755 9
196 10
1891 10
1676 10
311 11
1683 11
325 12
1055 12
326 13
908 13
469 14
97 14
523 15
1932 15
585 16
1643 16
625 17
147 17
803 18
417 18
863 19
462 19
897 20
300 20
1357 21
797 21
1472 22
591 22
1548 23
294 23
1804 24
3 24
1814 25
337 25
1923 26
224 26
629 27
75 27
247 27
2026 27
141 27
891 27
278 27
1905 27
292 27
145 27
1784 27
1035 27
729 27
1388 27
252 27
1186 27
465 27
442 27
260 27
865 27
475 27
854 27
701 27
690 27
818 27
1779 27
904 27
1649 27
1690 27
1555 27
1211 27
1478 27
1494 27
1553 27
36 28
1620 28
664 28
873 28
1023 28
992 29
65 29
221 29
848 29
79 29
1158 29
1376 29
1305 29
429 29
990 29
245 29
1549 29
1057 29
1392 29
1423 29
894 29
139 29
448 29
244 29
1157 29
997 29
727 29
357 29
571 29
385 29
1980 29
1123 29
766 29
479 29
807 29
507 29
546 29
1194 29
575 29
1535 29
588 29
60 29
1148 29
881 29
1593 29
1955 29
896 29
1069 29
923 29
1812 29
1112 29
1837 29
2022 29
1693 29
1772 29
1700 29
1443 29
1479 29
1747 29
1851 29
1499 29
1912 29
2015 29
38 30
816 30
305 30
46 30
1742 30
1433 30
1178 30
328 30
152 30
823 30
256 30
409 30
793 30
1769 30
682 30
43 31
387 31
890 31
1974 31
347 31
1041 31
1597 31
1914 31
1964 31
1749 31
1527 31
363 31
1136 31
90 31
1689 31
190 31
1802 31
487 31
782 31
508 31
515 31
1992 31
403 31
1154 31
733 31
1102 31
1666 31
1404 31
957 31
2024 31
1444 31
1029 31
1068 31
1507 31
1900 31
44 32
1579 32
604 32
1290 32
1935 32
343 32
1083 32
167 32
902 32
736 32
954 32
107 32
840 32
1941 32
195 32
938 32
1294 32
1452 32
217 32
520 32
1577 32
1128 32
722 32
1994 32
402 32
716 32
91 32
1238 32
1853 32
649 32
1431 32
963 32
1781 32
338 32
1268 32
1596 32
1607 32
279 32
1193 32
960 32
1379 32
73 32
135 32
1790 32
1330 32
872 32
1408 32
1531 32
1063 32
89 33
265 33
164 33
1368 33
119 33
1429 33
1669 33
23 33
889 33
382 33
1018 33
979 33
557 33
640 33
689 33
1240 33
121 34
1922 34
1856 34
204 35
194 35
232 36
833 36
281 37
1124 37
371 38
220 38
424 39
1038 39
568 40
423 40
630 41
1511 41
635 42
327 42
670 43
830 43
696 44
518 44
929 45
1389 45
989 46
1434 46
1004 47
1034 47
1088 47
1762 47
1233 48
1090 48
1412 49
1071 49
1524 50
1237 50
1537 51
541 51
1787 52
601 52
53 53
1372 53
732 53
1985 53
2003 53
561 53
110 53
1951 53
1972 53
1792 53
188 53
1871 53
668 53
377 53
513 53
1325 53
153 53
401 53
1087 53
987 53
103 54
1662 54
1079 54
667 54
1750 54
1766 54
1832 54
209 54
104 55
1051 55
538 55
1425 55
1409 55
1949 55
1648 55
2011 55
703 55
1829 55
154 56
277 56
1918 56
1875 56
332 56
982 56
422 56
1618 56
868 56
1628 56
712 56
1276 56
1286 56
1522 56
202 57
1791 57
418 57
1975 57
411 57
1838 57
464 57
1767 57
1119 57
1322 57
1575 57
1585 57
1986 57
449 58
478 58
2005 58
555 58
573 58
903 58
1213 58
1072 58
1509 58
1877 58
717 59
150 59
898 60
1546 60
456 61
1439 61
510 61
584 61
998 61
1277 61
1962 61
598 62
1844 62
826 62
1873 63
1257 63
296 64
983 64
1696 64
389 64
1886 65
779 65
1906 65
14 66
1207 66
731 66
374 66
458 66
1911 66
349 67
83 67
1996 67
361 67
534 67
828 67
165 67
1562 67
917 67
583 67
1726 67
34 68
92 68
322 68
1705 68
491 68
602 68
831 68
852 68
1302 68
1133 68
203 69
1679 69
344 70
944 70
1243 71
586 71
794 72
1753 72
1252 72
525 73
386 73
1498 73
1060 74
435 74
461 74
1800 74
619 75
1637 75
